layer,L1,L2,L3,slope1,slope2,1280 acc,102400 acc,200000 test acc,neurons,avg. iteration time
2 conv + 1 fully,16,4,2,-2,-1,0.125,0.09375,0.132812,22,0.003981346
2 conv + 1 fully,16,4,4,-2,0,0.08594,0.11719,0.136719,24,0.004041538
2 conv + 1 fully,16,4,8,-2,1,0.04688,0.11719,0.136719,28,0.005868013
2 conv + 1 fully,16,4,16,-2,2,0.05469,0.10156,0.0898438,36,0.004052885
2 conv + 1 fully,16,4,32,-2,3,0.14844,0.16406,0.125,52,0.005893013
2 conv + 1 fully,16,4,64,-2,4,0.08594,0.3125,0.175781,84,0.004107564
2 conv + 1 fully,16,4,128,-2,5,0.10938,0.14062,0.183594,148,0.005931987
2 conv + 1 fully,16,4,256,-2,6,0.10156,0.14844,0.0976562,276,0.004116026
2 conv + 1 fully,16,4,512,-2,7,0.10938,0.125,0.0898438,532,0.004207308
2 conv + 1 fully,16,4,1024,-2,8,0.10938,0.78125,0.429688,1044,0.004485064
2 conv + 1 fully,16,8,2,-1,-2,0.125,0.14062,0.0742188,26,0.004272244
2 conv + 1 fully,16,8,4,-1,-1,0.10938,0.0625,0.136719,28,0.006171346
2 conv + 1 fully,16,8,8,-1,0,0.07812,0.10156,0.101562,32,0.004297244
2 conv + 1 fully,16,8,16,-1,1,0.08594,0.07812,0.136719,40,0.006189551
2 conv + 1 fully,16,8,32,-1,2,0.08594,0.14844,0.140625,56,0.004362051
2 conv + 1 fully,16,8,64,-1,3,0.125,0.36719,0.0898438,88,0.004352051
2 conv + 1 fully,16,8,128,-1,4,0.17969,0.75,0.820312,152,0.004373718
2 conv + 1 fully,16,8,256,-1,5,0.09375,0.89844,0.910156,280,0.004492244
2 conv + 1 fully,16,8,512,-1,6,0.14062,0.83594,0.871094,536,0.006414487
2 conv + 1 fully,16,8,1024,-1,7,0.10156,0.9375,0.90625,1048,0.004852564
2 conv + 1 fully,16,16,2,0,-3,0.03906,0.11719,0.136719,34,0.006563526
2 conv + 1 fully,16,16,4,0,-2,0.08594,0.10156,0.132812,36,0.004692308
2 conv + 1 fully,16,16,8,0,-1,0.07031,0.125,0.121094,40,0.006611923
2 conv + 1 fully,16,16,16,0,0,0.10156,0.08594,0.144531,48,0.004743333
2 conv + 1 fully,16,16,32,0,1,0.10156,0.10938,0.121094,64,0.004761154
2 conv + 1 fully,16,16,64,0,2,0.10156,0.07812,0.128906,96,0.006667628
2 conv + 1 fully,16,16,128,0,3,0.14062,0.47656,0.128906,160,0.004894615
2 conv + 1 fully,16,16,256,0,4,0.11719,0.92188,0.921875,288,0.006766538
2 conv + 1 fully,16,16,512,0,5,0.14062,0.92969,0.964844,544,0.005028462
2 conv + 1 fully,16,16,1024,0,6,0.14844,0.9375,0.976562,1056,0.007287372
2 conv + 1 fully,16,32,2,1,-4,0.11719,0.0625,0.136719,50,0.037377821
2 conv + 1 fully,16,32,4,1,-3,0.05469,0.07812,0.136719,52,0.015660577
2 conv + 1 fully,16,32,8,1,-2,0.11719,0.08594,0.09375,56,0.014715
2 conv + 1 fully,16,32,16,1,-1,0.09375,0.13281,0.09375,64,0.014515128
2 conv + 1 fully,16,32,32,1,0,0.08594,0.125,0.128906,80,0.014972821
2 conv + 1 fully,16,32,64,1,1,0.05469,0.16406,0.152344,112,0.030144038
2 conv + 1 fully,16,32,128,1,2,0.14844,0.15625,0.09375,176,0.007324103
2 conv + 1 fully,16,32,256,1,3,0.17188,0.92969,0.523438,304,0.005571538
2 conv + 1 fully,16,32,512,1,4,0.1875,0.9375,0.941406,560,0.007642821
2 conv + 1 fully,16,32,1024,1,5,0.30469,0.96875,1,1072,0.006278462
2 conv + 1 fully,16,64,2,2,-5,0.16406,0.0625,0.128906,82,0.007056282
2 conv + 1 fully,16,64,4,2,-4,0.07031,0.05469,0.101562,84,0.008925192
2 conv + 1 fully,16,64,8,2,-3,0.10938,0.16406,0.136719,88,0.007113526
2 conv + 1 fully,16,64,16,2,-2,0.10938,0.08594,0.136719,96,0.008941282
2 conv + 1 fully,16,64,32,2,-1,0.09375,0.07031,0.121094,112,0.007201859
2 conv + 1 fully,16,64,64,2,0,0.16406,0.10938,0.09375,144,0.009060513
2 conv + 1 fully,16,64,128,2,1,0.19531,0.25781,0.132812,208,0.007241859
2 conv + 1 fully,16,64,256,2,2,0.17969,0.875,0.773438,336,0.007386474
2 conv + 1 fully,16,64,512,2,3,0.125,0.92188,0.921875,592,0.007718205
2 conv + 1 fully,16,64,1024,2,4,0.1875,0.96875,0.976562,1104,0.008320577
2 conv + 1 fully,16,128,2,3,-6,0.11719,0.0625,0.109375,146,0.039446538
2 conv + 1 fully,16,128,4,3,-5,0.0625,0.0625,0.109375,148,0.018011538
2 conv + 1 fully,16,128,8,3,-4,0.10156,0.10938,0.0742188,152,0.018135705
2 conv + 1 fully,16,128,16,3,-3,0.14062,0.07031,0.09375,160,0.020358654
2 conv + 1 fully,16,128,32,3,-2,0.19531,0.13281,0.0898438,176,0.019746923
2 conv + 1 fully,16,128,64,3,-1,0.125,0.14062,0.132812,208,0.071278846
2 conv + 1 fully,16,128,128,3,0,0.07031,0.23438,0.164062,272,0.020099231
2 conv + 1 fully,16,128,256,3,1,0.25781,0.39062,0.210938,400,0.079416218
2 conv + 1 fully,16,128,512,3,2,0.25781,0.95312,0.941406,656,0.022660256
2 conv + 1 fully,16,128,1024,3,3,0.39062,0.94531,0.988281,1168,0.070996795
2 conv + 1 fully,16,256,2,4,-7,0.14844,0.13281,0.132812,274,0.031958974
2 conv + 1 fully,16,256,4,4,-6,0.10938,0.03906,0.132812,276,0.015194231
2 conv + 1 fully,16,256,8,4,-5,0.21094,0.04688,0.136719,280,0.013534615
2 conv + 1 fully,16,256,16,4,-4,0.07031,0.05469,0.09375,288,0.013416667
2 conv + 1 fully,16,256,32,4,-3,0.09375,0.07812,0.101562,304,0.01531859
2 conv + 1 fully,16,256,64,4,-2,0.15625,0.11719,0.0585938,336,0.013677564
2 conv + 1 fully,16,256,128,4,-1,0.19531,0.14844,0.15625,400,0.015998718
2 conv + 1 fully,16,256,256,4,0,0.25,0.4375,0.207031,528,0.014980769
2 conv + 1 fully,16,256,512,4,1,0.26562,0.94531,0.863281,784,0.018288462
2 conv + 1 fully,16,256,1024,4,2,0.42188,0.98438,0.976562,1296,0.019528205
2 conv + 1 fully,16,512,2,5,-8,0.10938,0.03906,0.0859375,530,0.022221795
2 conv + 1 fully,16,512,4,5,-7,0.17969,0.15625,0.136719,532,0.022208974
2 conv + 1 fully,16,512,8,5,-6,0.10156,0.14062,0.121094,536,0.022384615
2 conv + 1 fully,16,512,16,5,-5,0.10938,0.14844,0.136719,544,0.024372436
2 conv + 1 fully,16,512,32,5,-4,0.24219,0.07812,0.09375,560,0.022562821
2 conv + 1 fully,16,512,64,5,-3,0.20312,0.125,0.109375,592,0.024766026
2 conv + 1 fully,16,512,128,5,-2,0.21094,0.14844,0.15625,656,0.023583974
2 conv + 1 fully,16,512,256,5,-1,0.28125,0.28906,0.1875,784,0.027040385
2 conv + 1 fully,16,512,512,5,0,0.39062,0.86719,0.308594,1040,0.028235897
2 conv + 1 fully,16,512,1024,5,1,0.53906,0.9375,0.972656,1552,0.034162179
2 conv + 1 fully,16,1024,2,6,-9,0.10938,0.07031,0.132812,1042,0.041698718
2 conv + 1 fully,16,1024,4,6,-8,0.10156,0.13281,0.0859375,1044,0.040262821
2 conv + 1 fully,16,1024,8,6,-7,0.11719,0.07812,0.0898438,1048,0.042402564
2 conv + 1 fully,16,1024,16,6,-6,0.14844,0.10156,0.0859375,1056,0.04038141
2 conv + 1 fully,16,1024,32,6,-5,0.28125,0.125,0.0898438,1072,0.042385897
2 conv + 1 fully,16,1024,64,6,-4,0.23438,0.17969,0.136719,1104,0.041045513
2 conv + 1 fully,16,1024,128,6,-3,0.32031,0.04688,0.136719,1168,0.042282051
2 conv + 1 fully,16,1024,256,6,-2,0.48438,0.15625,0.121094,1296,0.045555128
2 conv + 1 fully,16,1024,512,6,-1,0.54688,0.75781,0.324219,1552,0.051830128
2 conv + 1 fully,16,1024,1024,6,0,0.48438,0.94531,0.992188,2064,0.066607692
2 conv + 1 fully,32,2,2,-4,0,0.09375,0.0625,0.132812,36,0.006678077
2 conv + 1 fully,32,2,4,-4,1,0.10938,0.07031,0.0859375,38,0.008510192
2 conv + 1 fully,32,2,8,-4,2,0.07812,0.11719,0.136719,42,0.006672821
2 conv + 1 fully,32,2,16,-4,3,0.125,0.10156,0.136719,50,0.006639936
2 conv + 1 fully,32,2,32,-4,4,0.13281,0.09375,0.136719,66,0.006667756
2 conv + 1 fully,32,2,64,-4,5,0.08594,0.08594,0.117188,98,0.006744038
2 conv + 1 fully,32,2,128,-4,6,0.11719,0.16406,0.171875,162,0.008573269
2 conv + 1 fully,32,2,256,-4,7,0.0625,0.10938,0.0898438,290,0.006760705
2 conv + 1 fully,32,2,512,-4,8,0.15625,0.22656,0.195312,546,0.008664936
2 conv + 1 fully,32,2,1024,-4,9,0.10156,0.16406,0.132812,1058,0.007077756
2 conv + 1 fully,32,4,2,-3,-1,0.04688,0.11719,0.0742188,38,0.057670705
2 conv + 1 fully,32,4,4,-3,0,0.05469,0.11719,0.136719,40,0.016865577
2 conv + 1 fully,32,4,8,-3,1,0.13281,0.08594,0.113281,44,0.00868141
2 conv + 1 fully,32,4,16,-3,2,0.10938,0.0625,0.105469,52,0.006776026
2 conv + 1 fully,32,4,32,-3,3,0.08594,0.13281,0.117188,68,0.006816923
2 conv + 1 fully,32,4,64,-3,4,0.02344,0.09375,0.148438,100,0.008683782
2 conv + 1 fully,32,4,128,-3,5,0.03125,0.08594,0.0742188,164,0.006880192
2 conv + 1 fully,32,4,256,-3,6,0.0625,0.17188,0.148438,292,0.008758718
2 conv + 1 fully,32,4,512,-3,7,0.17969,0.17969,0.132812,548,0.006939167
2 conv + 1 fully,32,4,1024,-3,8,0.14062,0.10156,0.0976562,1060,0.009204231
2 conv + 1 fully,32,8,2,-2,-2,0.0625,0.07812,0.101562,42,0.007107564
2 conv + 1 fully,32,8,4,-2,-1,0.0625,0.10938,0.0742188,44,0.007343077
2 conv + 1 fully,32,8,8,-2,0,0.11719,0.11719,0.136719,48,0.009075962
2 conv + 1 fully,32,8,16,-2,1,0.14062,0.10938,0.101562,56,0.007291667
2 conv + 1 fully,32,8,32,-2,2,0.16406,0.09375,0.0859375,72,0.009172436
2 conv + 1 fully,32,8,64,-2,3,0.10156,0.11719,0.140625,104,0.007404936
2 conv + 1 fully,32,8,128,-2,4,0.10938,0.16406,0.199219,168,0.009484615
2 conv + 1 fully,32,8,256,-2,5,0.1875,0.75781,0.785156,296,0.007444551
2 conv + 1 fully,32,8,512,-2,6,0.14062,0.92969,0.902344,552,0.007544679
2 conv + 1 fully,32,8,1024,-2,7,0.14062,0.88281,0.890625,1064,0.009717756
2 conv + 1 fully,32,16,2,-1,-3,0.11719,0.10156,0.0898438,50,0.058641859
2 conv + 1 fully,32,16,4,-1,-2,0.14062,0.07812,0.109375,52,0.009841346
2 conv + 1 fully,32,16,8,-1,-1,0.14844,0.07031,0.0859375,56,0.007907885
2 conv + 1 fully,32,16,16,-1,0,0.14844,0.08594,0.109375,64,0.009782756
2 conv + 1 fully,32,16,32,-1,1,0.09375,0.125,0.136719,80,0.007959231
