2016-07-15 12:48,194, Tag Name,Iteration,Minibatch Loss,Traning Accuracy,Elapsed Time,Testing Accuracy
2016-07-14 18:03,518, cnn_net_2_2_2_2,186880,2.631516,0.0625,0.00245,
2016-07-14 18:03,535, cnn_net_2_2_2_2,188160,2.304214,0.11719,0.00236,
2016-07-14 18:03,552, cnn_net_2_2_2_2,189440,2.300456,0.08594,0.00241,
2016-07-14 18:03,569, cnn_net_2_2_2_2,190720,2.278203,0.13281,0.0024,
2016-07-14 18:03,587, cnn_net_2_2_2_2,192000,2.31868,0.14844,0.0024,
2016-07-14 18:03,604, cnn_net_2_2_2_2,193280,2.301686,0.11719,0.00233,
2016-07-14 18:03,621, cnn_net_2_2_2_2,194560,2.730052,0.08594,0.00237,
2016-07-14 18:03,638, cnn_net_2_2_2_2,195840,2.271606,0.16406,0.00241,
2016-07-14 18:03,656, cnn_net_2_2_2_2,197120,2.310856,0.07031,0.00234,
2016-07-14 18:03,673, cnn_net_2_2_2_2,198400,2.296134,0.10938,0.00243,
2016-07-14 18:03,690, cnn_net_2_2_2_2,199680,2.303766,0.10156,0.00234,
2016-07-14 18:03,699, cnn_net_2_2_2_2,,,,,0.136719
2016-07-14 18:03,957,cnn_net_2_2_2_4,1280,91.998413,0.07812,0.00682,
2016-07-14 18:03,977,cnn_net_2_2_2_4,2560,81.920105,0.0625,0.00271,
2016-07-14 18:03,998,cnn_net_2_2_2_4,3840,41.659813,0.05469,0.00257,
2016-07-14 18:03,17,cnn_net_2_2_2_4,5120,45.202286,0.03906,0.00253,
2016-07-14 18:03,36,cnn_net_2_2_2_4,6400,36.106915,0.05469,0.0027,
2016-07-14 18:03,55,cnn_net_2_2_2_4,7680,12.872829,0.09375,0.00257,
2016-07-14 18:03,73,cnn_net_2_2_2_4,8960,18.410845,0.0625,0.00242,
2016-07-14 18:03,92,cnn_net_2_2_2_4,10240,7.798829,0.07031,0.00253,
2016-07-14 18:03,111,cnn_net_2_2_2_4,11520,10.680088,0.05469,0.00252,
2016-07-14 18:03,129,cnn_net_2_2_2_4,12800,8.300686,0.07031,0.00243,
2016-07-14 18:03,146,cnn_net_2_2_2_4,14080,6.322794,0.07812,0.00238,
2016-07-14 18:03,167,cnn_net_2_2_2_4,15360,6.732011,0.0625,0.00248,
