,Date,msec,Setting,Step,Elapsed Time,Metric1,Metric2,Metric3,Param1,Param2,Param3,Param4,Best,Random Best 1,Random Best 2,Random Best 0,Random Best 3,Random Best 4,Random Best 5,Random Best 6,Random Best 7,Random Best 8,Random Best 9
56,2016-09-03 4:00,720,filter:2-conv1:1-conv2:32-fc:128-Momentum,1_epoch,0.157,94.11,,,2,1,32,128,94.11,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
57,2016-09-03 4:00,962,filter:2-conv1:1-conv2:32-fc:64-Momentum,1_epoch,0.255,92.83,,,2,1,32,64,94.11,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
58,2016-09-03 4:00,42,filter:2-conv1:1-conv2:32-fc:256-Momentum,1_epoch,0.255,94.1,,,2,1,32,256,94.11,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
59,2016-09-03 4:00,394,filter:2-conv1:1-conv2:32-fc:512-Momentum,1_epoch,0.43,93.46,,,2,1,32,512,94.11,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
60,2016-09-03 4:01,91,filter:2-conv1:1-conv2:64-fc:1-Momentum,1_epoch,0.179,10.28,,,2,1,64,1,94.11,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
61,2016-09-03 4:01,319,filter:2-conv1:1-conv2:64-fc:2-Momentum,1_epoch,0.268,10.28,,,2,1,64,2,94.11,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
62,2016-09-03 4:01,494,filter:2-conv1:1-conv2:64-fc:4-Momentum,1_epoch,0.344,10.28,,,2,1,64,4,94.11,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
63,2016-09-03 4:01,906,filter:2-conv1:1-conv2:64-fc:8-Momentum,1_epoch,0.467,61.48,,,2,1,64,8,94.11,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
64,2016-09-03 4:01,805,filter:2-conv1:1-conv2:64-fc:16-Momentum,1_epoch,0.174,84.03,,,2,1,64,16,94.11,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
65,2016-09-03 4:01,811,filter:2-conv1:1-conv2:64-fc:32-Momentum,1_epoch,0.174,92.03,,,2,1,64,32,94.11,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
66,2016-09-03 4:01,841,filter:2-conv1:1-conv2:64-fc:64-Momentum,1_epoch,0.157,92.32,,,2,1,64,64,94.11,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
67,2016-09-03 4:01,959,filter:2-conv1:1-conv2:64-fc:128-Momentum,1_epoch,0.255,94.05,,,2,1,64,128,94.11,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
68,2016-09-03 4:01,255,filter:2-conv1:1-conv2:64-fc:256-Momentum,1_epoch,0.182,94.94,,,2,1,64,256,94.94,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
69,2016-09-03 4:01,581,filter:2-conv1:1-conv2:128-fc:1-Momentum,1_epoch,0.244,10.28,,,2,1,128,1,94.94,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
70,2016-09-03 4:01,600,filter:2-conv1:1-conv2:128-fc:2-Momentum,1_epoch,0.213,10.28,,,2,1,128,2,94.94,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
71,2016-09-03 4:01,890,filter:2-conv1:1-conv2:64-fc:512-Momentum,1_epoch,0.356,94.13,,,2,1,64,512,94.94,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
72,2016-09-03 4:01,828,filter:2-conv1:1-conv2:128-fc:16-Momentum,1_epoch,0.201,10.28,,,2,1,128,16,94.94,97.33,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
73,2016-09-03 4:01,891,filter:2-conv1:1-conv2:128-fc:4-Momentum,1_epoch,0.213,10.28,,,2,1,128,4,94.94,97.96,97.67,98.13,97.84,98.05,97.7,97.92,97.91,97.64,97.31
74,2016-09-03 4:01,914,filter:2-conv1:1-conv2:128-fc:8-Momentum,1_epoch,0.227,10.28,,,2,1,128,8,94.94,97.96,97.67,98.13,97.84,98.05,97.73,97.92,97.91,97.64,97.31
75,2016-09-03 4:01,711,filter:2-conv1:1-conv2:128-fc:32-Momentum,1_epoch,0.691,88.31,,,2,1,128,32,94.94,97.96,98.16,98.13,97.84,98.05,97.73,97.92,97.91,97.64,97.31
76,2016-09-03 4:01,695,filter:2-conv1:1-conv2:128-fc:128-Momentum,1_epoch,0.194,92.72,,,2,1,128,128,94.94,97.96,98.16,98.13,97.84,98.05,97.73,97.92,97.91,97.64,97.31
77,2016-09-03 4:01,31,filter:2-conv1:1-conv2:128-fc:64-Momentum,1_epoch,0.232,92.36,,,2,1,128,64,94.94,97.96,98.16,98.13,97.84,98.05,97.73,97.92,97.91,97.64,97.31
78,2016-09-03 4:01,305,filter:2-conv1:1-conv2:128-fc:256-Momentum,1_epoch,0.284,93.2,,,2,1,128,256,94.94,97.96,98.16,98.13,97.84,98.05,97.73,97.92,97.91,97.64,97.31
79,2016-09-03 4:01,798,filter:2-conv1:1-conv2:128-fc:512-Momentum,1_epoch,0.223,94.0,,,2,1,128,512,94.94,97.96,98.16,98.13,97.84,98.05,97.73,97.92,97.91,97.64,97.31
80,2016-09-03 4:01,344,filter:2-conv1:1-conv2:256-fc:1-Momentum,1_epoch,0.23,10.28,,,2,1,256,1,94.94,97.96,98.16,98.13,97.84,98.05,97.73,98.12,97.91,97.64,97.31
81,2016-09-03 4:01,446,filter:2-conv1:1-conv2:256-fc:2-Momentum,1_epoch,0.267,10.28,,,2,1,256,2,94.94,97.96,98.16,98.13,97.84,98.05,97.73,98.12,97.91,97.64,97.31
82,2016-09-03 4:01,635,filter:2-conv1:1-conv2:256-fc:4-Momentum,1_epoch,0.36,42.87,,,2,1,256,4,94.94,97.96,98.16,98.13,97.84,98.05,97.73,98.12,97.91,97.64,97.31
83,2016-09-03 4:01,786,filter:2-conv1:1-conv2:256-fc:8-Momentum,1_epoch,0.494,10.28,,,2,1,256,8,94.94,97.96,98.16,98.13,97.84,98.05,97.73,98.12,97.91,97.95,97.31
84,2016-09-03 4:01,177,filter:2-conv1:1-conv2:256-fc:64-Momentum,1_epoch,0.228,10.28,,,2,1,256,64,94.94,97.96,98.16,98.13,97.84,98.05,97.73,98.12,97.91,97.95,97.31
85,2016-09-03 4:01,417,filter:2-conv1:1-conv2:256-fc:16-Momentum,1_epoch,0.323,69.12,,,2,1,256,16,94.94,97.96,98.16,98.13,97.84,98.05,97.73,98.12,97.91,97.95,97.31
86,2016-09-03 4:01,435,filter:2-conv1:1-conv2:256-fc:32-Momentum,1_epoch,0.321,91.7,,,2,1,256,32,94.94,97.96,98.16,98.13,97.84,98.05,97.73,98.12,97.91,97.95,97.31
87,2016-09-03 4:01,104,filter:2-conv1:1-conv2:256-fc:128-Momentum,1_epoch,0.686,93.96,,,2,1,256,128,94.94,97.96,98.16,98.13,97.84,98.05,97.73,98.12,97.91,97.95,97.31
88,2016-09-03 4:02,592,filter:2-conv1:1-conv2:256-fc:256-Momentum,1_epoch,0.266,94.8,,,2,1,256,256,94.94,97.96,98.16,98.13,97.84,98.05,97.73,98.12,97.91,97.95,97.31
