,Date,msec,Setting,Step,Elapsed Time,Metric1,Metric2,Metric3,Param1,Param2,Param3,Param4,Total Time,Best
109,2016-09-03 4:02,765,filter:2-conv1:2-conv2:1-fc:256-Momentum,1_epoch,0.186,88.75,,,2,2,1,256,27.576,94.94
110,2016-09-03 4:02,841,filter:2-conv1:2-conv2:2-fc:1-Momentum,1_epoch,0.155,18.9,,,2,2,2,1,27.731,94.94
111,2016-09-03 4:02,133,filter:2-conv1:2-conv2:2-fc:2-Momentum,1_epoch,0.394,10.28,,,2,2,2,2,28.125,94.94
112,2016-09-03 4:03,332,filter:2-conv1:2-conv2:2-fc:4-Momentum,1_epoch,0.143,10.28,,,2,2,2,4,28.268,94.94
113,2016-09-03 4:03,652,filter:2-conv1:2-conv2:2-fc:32-Momentum,1_epoch,0.119,74.42,,,2,2,2,32,28.387,94.94
114,2016-09-03 4:03,681,filter:2-conv1:2-conv2:2-fc:16-Momentum,1_epoch,0.117,23.86,,,2,2,2,16,28.504,94.94
115,2016-09-03 4:03,683,filter:2-conv1:2-conv2:2-fc:8-Momentum,1_epoch,0.115,37.16,,,2,2,2,8,28.619,94.94
116,2016-09-03 4:03,32,filter:2-conv1:2-conv2:2-fc:128-Momentum,1_epoch,0.135,89.27,,,2,2,2,128,28.754,94.94
117,2016-09-03 4:03,33,filter:2-conv1:2-conv2:2-fc:256-Momentum,1_epoch,0.133,85.87,,,2,2,2,256,28.887,94.94
118,2016-09-03 4:03,52,filter:2-conv1:2-conv2:2-fc:512-Momentum,1_epoch,0.135,10.28,,,2,2,2,512,29.022,94.94
119,2016-09-03 4:03,104,filter:2-conv1:2-conv2:2-fc:64-Momentum,1_epoch,0.162,87.51,,,2,2,2,64,29.184,94.94
120,2016-09-03 4:03,798,filter:2-conv1:2-conv2:4-fc:1-Momentum,1_epoch,0.134,10.28,,,2,2,4,1,29.318,94.94
121,2016-09-03 4:03,814,filter:2-conv1:2-conv2:4-fc:2-Momentum,1_epoch,0.13,10.28,,,2,2,4,2,29.448,94.94
122,2016-09-03 4:03,816,filter:2-conv1:2-conv2:4-fc:4-Momentum,1_epoch,0.127,10.28,,,2,2,4,4,29.575,94.94
123,2016-09-03 4:03,429,filter:2-conv1:2-conv2:4-fc:8-Momentum,1_epoch,0.644,57.65,,,2,2,4,8,30.219,94.94
124,2016-09-03 4:03,341,filter:2-conv1:2-conv2:4-fc:64-Momentum,1_epoch,0.135,89.57,,,2,2,4,64,30.354,94.94
125,2016-09-03 4:03,719,filter:2-conv1:2-conv2:4-fc:16-Momentum,1_epoch,0.124,68.81,,,2,2,4,16,30.478,94.94
126,2016-09-03 4:03,930,filter:2-conv1:2-conv2:4-fc:32-Momentum,1_epoch,0.218,87.18,,,2,2,4,32,30.696,94.94
127,2016-09-03 4:03,147,filter:2-conv1:2-conv2:4-fc:128-Momentum,1_epoch,0.407,86.13,,,2,2,4,128,31.103,94.94
128,2016-09-03 4:03,295,filter:2-conv1:2-conv2:8-fc:1-Momentum,1_epoch,0.136,22.39,,,2,2,8,1,31.239,94.94
129,2016-09-03 4:03,323,filter:2-conv1:2-conv2:4-fc:256-Momentum,1_epoch,0.138,90.85,,,2,2,4,256,31.377,94.94
130,2016-09-03 4:03,408,filter:2-conv1:2-conv2:4-fc:512-Momentum,1_epoch,0.187,89.65,,,2,2,4,512,31.564,94.94
131,2016-09-03 4:03,773,filter:2-conv1:2-conv2:8-fc:2-Momentum,1_epoch,0.533,10.28,,,2,2,8,2,32.097,94.94
132,2016-09-03 4:03,22,filter:2-conv1:2-conv2:8-fc:32-Momentum,1_epoch,0.136,91.67,,,2,2,8,32,32.233,94.94
133,2016-09-03 4:03,260,filter:2-conv1:2-conv2:8-fc:4-Momentum,1_epoch,0.229,58.51,,,2,2,8,4,32.462,94.94
134,2016-09-03 4:03,277,filter:2-conv1:2-conv2:8-fc:16-Momentum,1_epoch,0.231,81.77,,,2,2,8,16,32.693,94.94
135,2016-09-03 4:03,330,filter:2-conv1:2-conv2:8-fc:8-Momentum,1_epoch,0.221,66.38,,,2,2,8,8,32.914,94.94
136,2016-09-03 4:03,624,filter:2-conv1:2-conv2:8-fc:256-Momentum,1_epoch,0.146,92.89,,,2,2,8,256,33.06,94.94
137,2016-09-03 4:03,839,filter:2-conv1:2-conv2:8-fc:512-Momentum,1_epoch,0.262,10.28,,,2,2,8,512,33.322,94.94
138,2016-09-03 4:03,983,filter:2-conv1:2-conv2:8-fc:128-Momentum,1_epoch,0.273,93.08,,,2,2,8,128,33.595,94.94
139,2016-09-03 4:03,135,filter:2-conv1:2-conv2:8-fc:64-Momentum,1_epoch,0.288,89.84,,,2,2,8,64,33.883,94.94
140,2016-09-03 4:03,938,filter:2-conv1:2-conv2:16-fc:4-Momentum,1_epoch,0.163,69.65,,,2,2,16,4,34.046,94.94
141,2016-09-03 4:03,260,filter:2-conv1:2-conv2:16-fc:1-Momentum,1_epoch,0.162,25.25,,,2,2,16,1,34.208,94.94
142,2016-09-03 4:03,276,filter:2-conv1:2-conv2:16-fc:2-Momentum,1_epoch,0.13,38.7,,,2,2,16,2,34.338,94.94
143,2016-09-03 4:03,549,filter:2-conv1:2-conv2:16-fc:8-Momentum,1_epoch,0.352,79.6,,,2,2,16,8,34.69,94.94
144,2016-09-03 4:04,147,filter:2-conv1:2-conv2:16-fc:64-Momentum,1_epoch,0.149,91.26,,,2,2,16,64,34.839,94.94
145,2016-09-03 4:04,263,filter:2-conv1:2-conv2:16-fc:16-Momentum,1_epoch,0.205,83.75,,,2,2,16,16,35.044,94.94
146,2016-09-03 4:04,342,filter:2-conv1:2-conv2:16-fc:128-Momentum,1_epoch,0.254,92.75,,,2,2,16,128,35.298,94.94
147,2016-09-03 4:04,469,filter:2-conv1:2-conv2:16-fc:32-Momentum,1_epoch,0.319,87.11,,,2,2,16,32,35.617,94.94
148,2016-09-03 4:04,162,filter:2-conv1:2-conv2:16-fc:256-Momentum,1_epoch,0.161,92.86,,,2,2,16,256,35.778,94.94
149,2016-09-03 4:04,417,filter:2-conv1:2-conv2:32-fc:2-Momentum,1_epoch,0.284,37.28,,,2,2,32,2,36.062,94.94
150,2016-09-03 4:04,441,filter:2-conv1:2-conv2:32-fc:1-Momentum,1_epoch,0.262,22.26,,,2,2,32,1,36.324,94.94
151,2016-09-03 4:04,470,filter:2-conv1:2-conv2:16-fc:512-Momentum,1_epoch,0.272,94.69,,,2,2,16,512,36.596,94.94
152,2016-09-03 4:04,737,filter:2-conv1:2-conv2:32-fc:8-Momentum,1_epoch,0.157,65.07,,,2,2,32,8,36.753,94.94
153,2016-09-03 4:04,829,filter:2-conv1:2-conv2:32-fc:16-Momentum,1_epoch,0.194,91.25,,,2,2,32,16,36.947,94.94
154,2016-09-03 4:04,997,filter:2-conv1:2-conv2:32-fc:32-Momentum,1_epoch,0.321,90.4,,,2,2,32,32,37.268,94.94
155,2016-09-03 4:04,371,filter:2-conv1:2-conv2:32-fc:4-Momentum,1_epoch,0.393,52.81,,,2,2,32,4,37.661,94.94
156,2016-09-03 4:04,888,filter:2-conv1:2-conv2:32-fc:512-Momentum,1_epoch,0.164,94.87,,,2,2,32,512,37.825,94.94
157,2016-09-03 4:04,916,filter:2-conv1:2-conv2:32-fc:64-Momentum,1_epoch,0.171,92.6,,,2,2,32,64,37.996,94.94
158,2016-09-03 4:04,952,filter:2-conv1:2-conv2:32-fc:256-Momentum,1_epoch,0.175,95.07,,,2,2,32,256,38.171,95.07
159,2016-09-03 4:04,97,filter:2-conv1:2-conv2:32-fc:128-Momentum,1_epoch,0.254,94.07,,,2,2,32,128,38.425,95.07
160,2016-09-03 4:04,33,filter:2-conv1:2-conv2:64-fc:1-Momentum,1_epoch,0.168,10.28,,,2,2,64,1,38.593,95.07
161,2016-09-03 4:04,99,filter:2-conv1:2-conv2:64-fc:2-Momentum,1_epoch,0.186,10.28,,,2,2,64,2,38.779,95.07
162,2016-09-03 4:04,261,filter:2-conv1:2-conv2:64-fc:8-Momentum,1_epoch,0.311,10.28,,,2,2,64,8,39.09,95.07
163,2016-09-03 4:04,280,filter:2-conv1:2-conv2:64-fc:4-Momentum,1_epoch,0.301,10.28,,,2,2,64,4,39.391,95.07
164,2016-09-03 4:04,666,filter:2-conv1:2-conv2:64-fc:32-Momentum,1_epoch,0.197,91.5,,,2,2,64,32,39.588,95.07
165,2016-09-03 4:04,987,filter:2-conv1:2-conv2:64-fc:64-Momentum,1_epoch,0.212,92.26,,,2,2,64,64,39.8,95.07
166,2016-09-03 4:04,179,filter:2-conv1:2-conv2:64-fc:128-Momentum,1_epoch,0.262,92.99,,,2,2,64,128,40.062,95.07
167,2016-09-03 4:04,191,filter:2-conv1:2-conv2:64-fc:16-Momentum,1_epoch,0.262,82.53,,,2,2,64,16,40.324,95.07
168,2016-09-03 4:04,727,filter:2-conv1:2-conv2:128-fc:1-Momentum,1_epoch,0.185,10.28,,,2,2,128,1,40.509,95.07
169,2016-09-03 4:04,891,filter:2-conv1:2-conv2:64-fc:256-Momentum,1_epoch,0.262,94.92,,,2,2,64,256,40.771,95.07
170,2016-09-03 4:04,185,filter:2-conv1:2-conv2:64-fc:512-Momentum,1_epoch,0.342,95.73,,,2,2,64,512,41.113,95.73
171,2016-09-03 4:04,189,filter:2-conv1:2-conv2:128-fc:2-Momentum,1_epoch,0.386,10.28,,,2,2,128,2,41.499,95.73
172,2016-09-03 4:04,862,filter:2-conv1:2-conv2:128-fc:8-Momentum,1_epoch,0.185,10.28,,,2,2,128,8,41.684,95.73
173,2016-09-03 4:04,135,filter:2-conv1:2-conv2:128-fc:32-Momentum,1_epoch,0.294,91.27,,,2,2,128,32,41.978,95.73
